,,,ALAMEDA OSCAR NIEMEYER 119,PAUL HARRIS 358,,,,,,,,,
,,,SALA 1502 MG MG,BARRANCO,,,,,,,,,
,,,"BR-34006-056, NOVA LIMA","PE-, LIMA",,,,,,,,,
,,,MG,,,,,,,,,,
3654409905,,19/08/2019,"BHZ, BELO HORIZONTE","MEX, MEXICO CITY",EXPRESS,"0,50",A,1,"120,00",,,,"120,00"
,,,DATORA MOBILE TELECOMUNICACOES S/A,GRIN SCOOTERS,EASY,,,,,,,,
,,,DATORA MOBILE TELECOMUNICACOES S/A,Grin Scooters,nondoc,,,,,,,,
,,,ALAMEDA OSCAR NIEMEYER 119,"GUANAJUATO 65,",,,,,,,,,
,,,SALA 1502 MG MG,COLONIA ROMA NORTE DF CIUDAD DE MEXICO,,,,,,,,,
,,,"BR-34006-056, NOVA LIMA","MX-06700, MEXICO CITY CUAUHTEMOC",,,,,,,,,
,,,MG,CIUDAD DE MEXICO,,,,,,,,,
3654411902,,19/08/2019,"BHZ, BELO HORIZONTE","MVD, MONTEVIDEO",EXPRESS,"0,50",A,1,"100,00",,,,"100,00"
,,,DATORA MOBILE TELECOMUNICACOES S/A,LARTIVES SOCIEDAD ANONIMA,EASY,,,,,,,,
,,,DATORA MOBILE TELECOMUNICACOES S/A,Lartives Sociedad Anonima,nondoc,,,,,,,,
,,,ALAMEDA OSCAR NIEMEYER 119,PLAZA CAGANCHA 1335 0,,,,,,,,,
,,,SALA 1502 MG MG,MONTEVIDEO MONTEVIDEO,,,,,,,,,
,,,"BR-34006-056, NOVA LIMA","UY-, MONTEVIDEO",,,,,,,,,
,,,MG,MONTEVIDEO,,,,,,,,,
3654414805,,19/08/2019,"BHZ, BELO HORIZONTE","SCL, SANTIAGO",EXPRESS,"0,50",A,1,"100,00",,,,"100,00"
,,,DATORA MOBILE TELECOMUNICACOES S/A,GRIN CHILE SPA,EASY,,,,,,,,
,,,DATORA MOBILE TELECOMUNICACOES S/A,Grin Chile SpA,nondoc,,,,,,,,
,,,ALAMEDA OSCAR NIEMEYER 119,"SAN BEATRIZ 111, OF. 1104",,,,,,,,,
,,,SALA 1502 MG MG,PROVIDENCIA,,,,,,,,,
,,,"BR-34006-056, NOVA LIMA","CL-, SANTIAGO",,,,,,,,,
,,,MG,,,,,,,,,,
Sub-Total de Serviço - EXPRESS EASY nondoc,,,,,,"2,50",,5,"540,00",,,,"540,00"

,,,CÓPIA,,,,,,,,,,
Fatura:,,GRU0003339728,,,,,,,,,,,
,,,Fatura de Serviço,,,,,,,,,,
Conta:,,654235540,,,,,,,,,,,
Emissão:,,23/08/2019,,,,,,,,,,,
Número de Páginas:,,3 de 3,,,,,,,,,,,
AWB,Referência,"Data do
Envio",Remetente,Destinatário,"Tipo de
Serviço","Peso em
Kg","Número
de Peças",,"Tárifa
Frete
(Bruto)","Taxas/ Serviços
Extras",Valor,"Tributos/
Código DHL",Total
3654498805,,16/08/2019,"GRU, SAO PAULO NORTH","BNU, BLUMENAU",EXPRESS,"1,00",B,1,"38,50",,,"5,25 T4","43,75"
,,,FESTPAN ALIMENTOS IMP. E EXP LTDA.,CAPITAL TRADE IMP. E EXP. LTDA,DOMESTIC,,,,,FUEL SURCHARGE,"3,85","0,53 T4","4,38"
,,,FESTPAN ALIMENTOS IMP. E EXP LTDA.,Fabio Lamim / Joao Pedro,,,,,,,,,
,,,RUA AMAZONAS 671 80,AVENIDA CORONEL MARCOS KONDER 805,,,,,,,,,
,,,SAO PAULO SP SP SAO PAULO,SL. 1101 E 1108 SC SANTA CATARINA,,,,,,,,,
,,,"BR-09520-972, SAO CAETANO DO SUL","BR-88301-302, ITAJAI",,,,,,,,,
,,,Sao Paulo,Santa Catarina,,,,,,,,,
,,,,,,,,,,,,,"48,13"
7041646754,,21/08/2019,"GRU, SAO PAULO NORTH","FRC, FRANCA",EXPRESS,"1,00",B,1,"27,30",,,"3,72 T4","31,02"
,,,EICON CONTROLES INT. DE NEGOCIOS LTDA,PREFEITURA DO MUNICIPIO DE RIBEIRAO PRETO,DOMESTIC,,,,,FUEL SURCHARGE,"2,73","0,37 T4","3,10"
,,,Eicon Controles Int. de Neg. LTDA,Antonio Duarte Nogueira Junior,,,,,,,,,
,,,RUA BOGAERT 107,PRACA BARAO DO RIO BRANCO S/N,,,,,,,,,
,,,SAO PAULO SP SP SAO PAULO,GABINETE DO PREFEITO SP SAO PAULO,,,,,,,,,
,,,"BR-04298-020, SAO PAULO","BR-14010-140, RIBEIRAO PRETO",,,,,,,,,
,,,Sao Paulo,Sao Paulo,,,,,,,,,
,,,,,,,,,,,,,"34,12"
Sub-Total de Serviço - EXPRESS DOMESTIC,,,,,,"2,00",,2,"65,80",,"6,58","9,87","82,25"
4780414881,,16/08/2019,"BHZ, BELO HORIZONTE","TMB, MIAMI",EXPRESS,"3,50",B,1,"202,74",,,,"202,74"
,,,PALHAS BRASIL LTDA - ME1,SANDRA ARAUJO SENNA SOUZA,WORLDWIDE,,,,,,,,
,,,PALHAS BRASIL LTDA - ME1,SANDRA ARAUJO SENNA SOUZA,nondoc,,,,,,,,
,,,RUA SAO MATEUS 143,6947 MARIPOSA CIR CT,,,,,,,,,
,,,MINAS GERAIS MG MG MINAS GERAIS,PEMBROKE PINES FL FLORIDA,,,,,,,,,
,,,"BR-30626-260, BELO HORIZONTE","US-33331, FORT LAUDERDALE",,,,,,,,,
,,,Minas Gerais,Florida,,,,,,,,,
Sub-Total de Serviço - EXPRESS WORLDWIDE nondoc,,,,,,"3,50",,1,"202,74",,,,"202,74"
,,,,,Total: BRL:,"8,50",,9,"898,54",,"6,58","9,87","914,99"
,,,,,,,A = Peso Bruto Cliente,,,V = Peso Volumétrico Cliente,B = Peso Bruto DHL,W = Peso Volumétrico DHL,
